frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,1_mm,1_hit,2_mm,2_hit,3_mm,3_hit,4_mm,4_hit
3069,153.4500,1,hybrid:ecc,0.8844,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.9,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3070,153.5000,1,hybrid:ecc,0.8844,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.9,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3071,153.5500,1,hybrid:ecc,0.8845,0.191,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.9,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3072,153.6000,1,hybrid:ecc,0.8851,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3073,153.6500,1,hybrid:ecc,0.8851,0.189,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3074,153.7000,1,hybrid:ecc,0.8851,0.189,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3075,153.7500,1,hybrid:ecc,0.8851,0.189,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3076,153.8000,1,hybrid:ecc,0.8851,0.189,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3077,153.8500,1,hybrid:ecc,0.8850,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3078,153.9000,1,hybrid:ecc,0.8851,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.0,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3079,153.9500,1,hybrid:ecc,0.8852,0.189,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.0,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3080,154.0000,1,hybrid:ecc,0.8852,0.189,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.0,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3081,154.0500,1,hybrid:ecc,0.8853,0.189,372.6,2586.3,-90.453,1170.2,92.9,-559.7,106.6,-523.1,4736.5,1206.8,4722.8,1450.0,,,planar,-27.8,2088.0,772.0,2087.1,773.0,3084.6,-26.8,3085.4,1177.4,992.9,-552.6,1006.6,1200.1,3872.8,-529.8,3886.5,972.2,0,-404.4,1,1035.6,0,838.1,0
3082,154.1000,1,hybrid:ecc,0.8854,0.189,372.6,2586.3,-90.438,1170.9,93.1,-559.1,106.4,-523.7,4736.2,1206.3,4723.0,1450.0,,,planar,-27.8,2087.9,772.0,2087.2,773.0,3084.6,-26.9,3085.4,1177.8,993.1,-552.2,1006.4,1199.8,3873.0,-530.2,3886.3,972.3,0,-404.5,1,1035.7,0,838.1,0
3083,154.1500,1,hybrid:ecc,0.8853,0.188,372.6,2586.3,-90.453,1170.2,92.9,-559.7,106.6,-523.1,4736.5,1206.8,4722.8,1450.0,,,planar,-27.9,2088.0,772.0,2087.1,773.1,3084.6,-26.8,3085.5,1177.4,992.9,-552.6,1006.6,1200.1,3872.8,-529.8,3886.5,972.2,0,-404.4,1,1035.6,0,838.1,0
3084,154.2000,1,hybrid:ecc,0.8849,0.191,372.6,2586.3,-90.438,1170.9,93.1,-559.1,106.4,-523.7,4736.2,1206.3,4723.0,1450.0,,,planar,-27.8,2087.9,772.0,2087.2,772.9,3084.7,-26.9,3085.4,1177.8,993.1,-552.2,1006.4,1199.8,3873.0,-530.2,3886.3,972.3,0,-404.5,1,1035.7,0,838.1,0
3085,154.2500,1,hybrid:ecc,0.8848,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.0,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3086,154.3000,1,hybrid:ecc,0.8849,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3087,154.3500,1,hybrid:ecc,0.8849,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3088,154.4000,1,hybrid:ecc,0.8850,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3089,154.4500,1,hybrid:ecc,0.8850,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3090,154.5000,1,hybrid:ecc,0.8850,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3091,154.5500,1,hybrid:ecc,0.8850,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3092,154.6000,1,hybrid:ecc,0.8850,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3093,154.6500,1,hybrid:ecc,0.8851,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3094,154.7000,1,hybrid:ecc,0.8850,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3095,154.7500,1,hybrid:ecc,0.8850,0.190,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.6,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3096,154.8000,1,hybrid:ecc,0.8849,0.190,372.6,2586.3,-90.453,1170.2,92.9,-559.7,106.6,-523.1,4736.5,1206.8,4722.8,1450.0,,,planar,-27.8,2088.0,772.0,2087.1,773.1,3084.6,-26.8,3085.4,1177.4,992.9,-552.6,1006.6,1200.1,3872.8,-529.8,3886.5,972.2,0,-404.4,1,1035.6,0,838.1,0
3097,154.8500,1,hybrid:ecc,0.8849,0.190,372.6,2586.3,-90.453,1170.2,92.9,-559.7,106.6,-523.1,4736.5,1206.8,4722.8,1450.0,,,planar,-27.8,2088.0,772.0,2087.1,773.1,3084.6,-26.8,3085.4,1177.4,992.9,-552.6,1006.6,1200.1,3872.8,-529.8,3886.5,972.2,0,-404.4,1,1035.6,0,838.1,0
3098,154.9000,1,hybrid:ecc,0.8846,0.191,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3099,154.9500,1,hybrid:ecc,0.8843,0.192,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.8,3085.4,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3100,155.0000,1,hybrid:ecc,0.8846,0.192,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.8,3085.5,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3101,155.0500,1,hybrid:ecc,0.8846,0.192,372.6,2586.3,-90.446,1170.6,93.0,-559.4,106.5,-523.4,4736.4,1206.6,4722.9,1450.0,,,planar,-27.8,2088.0,772.1,2087.2,773.0,3084.7,-26.8,3085.5,1177.6,993.0,-552.4,1006.5,1200.0,3872.9,-530.0,3886.4,972.3,0,-404.5,1,1035.7,0,838.1,0
3102,155.1000,1,hybrid:ecc,0.8857,0.193,372.0,2586.4,-90.589,1163.7,91.2,-566.2,108.9,-518.6,4738.7,1211.3,4720.9,1450.0,,,planar,-29.6,2089.1,770.2,2086.3,773.6,3083.8,-26.2,3086.5,1173.0,991.1,-556.9,1008.9,1202.6,3871.0,-527.3,3888.7,971.7,0,-404.3,1,1034.1,0,838.2,0
3103,155.1500,1,hybrid:ecc,0.8884,0.192,372.4,2586.4,-90.453,1170.0,93.0,-559.9,106.7,-523.3,4736.6,1206.6,4722.9,1450.0,,,planar,-28.1,2088.1,771.8,2087.2,772.9,3084.7,-26.9,3085.6,1177.2,993.0,-552.8,1006.7,1199.9,3872.9,-530.0,3886.6,972.3,0,-404.6,1,1035.5,0,838.3,0
3104,155.2000,1,hybrid:ecc,0.8859,0.192,371.9,2586.4,-90.589,1163.6,91.2,-566.3,108.9,-518.7,4738.7,1211.2,4720.9,1450.0,,,planar,-29.8,2089.1,770.1,2086.3,773.6,3083.8,-26.3,3086.6,1172.9,991.1,-557.0,1008.9,1202.5,3871.0,-527.4,3888.7,971.7,0,-404.4,1,1034.1,0,838.3,0
3105,155.2500,1,hybrid:ecc,0.8884,0.191,372.4,2586.4,-90.453,1170.0,93.0,-559.9,106.7,-523.3,4736.6,1206.6,4722.9,1450.0,,,planar,-28.1,2088.1,771.8,2087.2,772.9,3084.7,-26.9,3085.6,1177.2,993.0,-552.8,1006.7,1199.9,3872.9,-530.0,3886.6,972.3,0,-404.6,1,1035.5,0,838.3,0
3106,155.3000,1,hybrid:ecc,0.8858,0.192,371.9,2586.5,-90.596,1163.3,91.2,-566.6,109.2,-518.4,4738.9,1211.5,4720.9,1450.0,,,planar,-29.8,2089.2,770.0,2086.3,773.6,3083.7,-26.2,3086.6,1172.7,991.1,-557.2,1009.1,1202.6,3871.0,-527.3,3889.0,971.8,0,-404.3,1,1033.9,0,838.2,0
