frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,stop_line_mm,stop_line_hit
28,1.4000,1,hybrid:ecc,0.9079,0.171,1050.0,997.2,-177.160,-1516.3,-175.4,-1602.0,1552.5,3022.3,1781.9,3108.0,54.0,1450.0,,,planar,571.5,543.8,1529.1,544.4,1528.6,1450.7,571.0,1450.1,-617.4,-130.8,-703.1,1597.1,2259.1,11.9,2173.4,1739.8,524.7,0
29,1.4500,1,hybrid:ecc,0.9079,0.171,1050.0,997.2,-177.160,-1516.3,-175.4,-1602.0,1552.5,3022.3,1781.9,3108.0,54.0,1450.0,,,planar,571.5,543.8,1529.1,544.4,1528.6,1450.7,571.0,1450.1,-617.4,-130.8,-703.1,1597.1,2259.1,11.9,2173.4,1739.8,524.7,0
30,1.5000,1,hybrid:ecc,0.9077,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
31,1.5500,1,hybrid:ecc,0.9078,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
32,1.6000,1,hybrid:ecc,0.9077,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.5,543.8,1529.1,544.3,1528.6,1450.6,571.0,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
33,1.6500,1,hybrid:ecc,0.9073,0.171,1050.0,997.2,-177.160,-1516.3,-175.4,-1602.0,1552.5,3022.3,1781.9,3108.0,54.0,1450.0,,,planar,571.5,543.7,1529.1,544.3,1528.5,1450.6,570.9,1450.0,-617.4,-130.8,-703.1,1597.1,2259.1,11.9,2173.4,1739.8,524.7,0
34,1.7000,1,hybrid:ecc,0.9079,0.171,1050.0,997.2,-177.166,-1516.4,-175.1,-1601.9,1552.8,3022.4,1781.7,3107.9,53.8,1450.0,,,planar,571.4,543.8,1529.0,544.3,1528.5,1450.6,570.9,1450.1,-617.5,-130.6,-703.0,1597.3,2259.0,11.8,2173.4,1739.6,524.8,0
35,1.7500,1,hybrid:ecc,0.9120,0.171,1049.8,997.2,-177.172,-1516.7,-174.9,-1602.1,1553.0,3022.3,1781.5,3107.6,53.6,1450.0,,,planar,571.2,543.9,1528.8,544.3,1528.4,1450.6,570.8,1450.2,-617.8,-130.5,-703.2,1597.4,2258.7,11.6,2173.3,1739.5,524.6,0
36,1.8000,1,hybrid:ecc,0.9110,0.171,1049.8,997.2,-177.172,-1516.7,-174.9,-1602.1,1553.0,3022.3,1781.5,3107.6,53.6,1450.0,,,planar,571.2,543.9,1528.8,544.3,1528.4,1450.6,570.8,1450.2,-617.8,-130.5,-703.2,1597.4,2258.7,11.6,2173.3,1739.5,524.6,0
37,1.8500,1,hybrid:ecc,0.9113,0.171,1049.8,997.2,-177.172,-1516.7,-174.9,-1602.1,1553.0,3022.3,1781.5,3107.6,53.6,1450.0,,,planar,571.2,543.9,1528.8,544.3,1528.4,1450.6,570.8,1450.2,-617.8,-130.5,-703.2,1597.4,2258.7,11.6,2173.3,1739.5,524.6,0
