frame,time_s,found,method,score,sigma_mm,sticker_x_mm,sticker_y_mm,heading_deg,box1_x_mm,box1_y_mm,box2_x_mm,box2_y_mm,box3_x_mm,box3_y_mm,box4_x_mm,box4_y_mm,sticker_height_mm,pitch_deg,roll_deg,plane_fit,stick1_x_mm,stick1_y_mm,stick2_x_mm,stick2_y_mm,stick3_x_mm,stick3_y_mm,stick4_x_mm,stick4_y_mm,wheel_fl_x_mm,wheel_fl_y_mm,wheel_fr_x_mm,wheel_fr_y_mm,wheel_rl_x_mm,wheel_rl_y_mm,wheel_rr_x_mm,wheel_rr_y_mm,1_mm,1_hit,2_mm,2_hit,3_mm,3_hit,4_mm,4_hit
3736,186.8000,1,hybrid:ecc,0.9421,0.072,1348.5,3109.1,-87.284,2375.1,452.5,427.3,360.1,105.0,7152.4,2052.8,7244.8,2580.0,,,planar,677.4,2758.0,2019.9,2758.5,2019.7,3460.2,677.2,3459.7,2320.1,1611.2,372.3,1518.8,2135.8,5496.8,188.0,5404.4,1298.7,0,435.7,0,2398.1,0,931.1,0
3737,186.8500,1,hybrid:ecc,0.9421,0.072,1348.5,3109.1,-87.284,2375.1,452.5,427.3,360.1,105.0,7152.4,2052.8,7244.8,2580.0,,,planar,677.4,2758.0,2019.9,2758.5,2019.7,3460.2,677.2,3459.7,2320.1,1611.2,372.3,1518.8,2135.8,5496.8,188.0,5404.4,1298.7,0,435.7,0,2398.1,0,931.1,0
3738,186.9000,1,hybrid:ecc,0.9421,0.072,1348.5,3109.1,-87.284,2375.1,452.5,427.3,360.1,105.0,7152.4,2052.8,7244.8,2580.0,,,planar,677.4,2758.0,2019.9,2758.5,2019.7,3460.2,677.2,3459.7,2320.1,1611.2,372.3,1518.8,2135.8,5496.8,188.0,5404.4,1298.7,0,435.7,0,2398.1,0,931.1,0
3739,186.9500,1,hybrid:ecc,0.9429,0.072,1348.5,3109.1,-87.280,2375.3,452.6,427.5,360.0,104.7,7152.4,2052.5,7244.9,2580.0,,,planar,677.4,2757.9,2019.9,2758.5,2019.6,3460.2,677.1,3459.6,2320.2,1611.3,372.4,1518.7,2135.6,5496.9,187.8,5404.3,1298.6,0,435.5,0,2398.2,0,931.2,0
3740,187.0000,1,hybrid:ecc,0.9426,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3741,187.0500,1,hybrid:ecc,0.9429,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3742,187.1000,1,hybrid:ecc,0.9432,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3743,187.1500,1,hybrid:ecc,0.9433,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3744,187.2000,1,hybrid:ecc,0.9444,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3745,187.2500,1,hybrid:ecc,0.9445,0.072,1348.6,3109.1,-87.280,2375.4,452.6,427.6,360.0,104.8,7152.4,2052.6,7244.9,2580.0,,,planar,677.5,2758.0,2020.0,2758.6,2019.7,3460.2,677.2,3459.7,2320.3,1611.3,372.5,1518.7,2135.7,5496.9,187.9,5404.3,1298.6,0,435.6,0,2398.2,0,931.1,0
3746,187.3000,1,hybrid:ecc,0.9445,0.072,1348.6,3109.1,-87.280,2375.4,452.6,427.6,360.0,104.8,7152.4,2052.6,7244.9,2580.0,,,planar,677.5,2758.0,2020.0,2758.6,2019.7,3460.2,677.2,3459.7,2320.3,1611.3,372.5,1518.7,2135.7,5496.9,187.9,5404.3,1298.6,0,435.6,0,2398.2,0,931.1,0
3747,187.3500,1,hybrid:ecc,0.9439,0.072,1348.6,3109.1,-87.280,2375.4,452.6,427.6,360.0,104.8,7152.4,2052.6,7244.9,2580.0,,,planar,677.5,2758.0,2020.0,2758.6,2019.7,3460.2,677.2,3459.7,2320.3,1611.3,372.5,1518.7,2135.7,5496.9,187.9,5404.3,1298.6,0,435.6,0,2398.2,0,931.1,0
3748,187.4000,1,hybrid:ecc,0.9439,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3749,187.4500,1,hybrid:ecc,0.9441,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3750,187.5000,1,hybrid:ecc,0.9439,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3751,187.5500,1,hybrid:ecc,0.9437,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3752,187.6000,1,hybrid:ecc,0.9436,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.6,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3753,187.6500,1,hybrid:ecc,0.9437,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.6,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3754,187.7000,1,hybrid:ecc,0.9437,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3755,187.7500,1,hybrid:ecc,0.9437,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3756,187.8000,1,hybrid:ecc,0.9446,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3757,187.8500,1,hybrid:ecc,0.9447,0.072,1348.6,3109.1,-87.284,2375.2,452.5,427.4,360.1,105.1,7152.4,2052.9,7244.8,2580.0,,,planar,677.5,2758.0,2020.0,2758.5,2019.7,3460.2,677.2,3459.7,2320.2,1611.2,372.4,1518.8,2135.9,5496.8,188.1,5404.4,1298.7,0,435.8,0,2398.1,0,931.0,0
3758,187.9000,1,hybrid:ecc,0.9439,0.072,1348.6,3108.9,-87.284,2375.2,452.3,427.4,359.9,105.1,7152.2,2052.9,7244.6,2580.0,,,planar,677.5,2757.8,2020.0,2758.3,2019.7,3460.0,677.2,3459.4,2320.2,1611.0,372.4,1518.6,2135.9,5496.6,188.1,5404.2,1298.5,0,435.8,0,2398.3,0,931.0,0
3759,187.9500,1,hybrid:ecc,0.9435,0.072,1348.6,3108.9,-87.284,2375.2,452.3,427.4,359.9,105.1,7152.2,2052.9,7244.6,2580.0,,,planar,677.5,2757.8,2020.0,2758.3,2019.7,3460.0,677.2,3459.5,2320.2,1611.0,372.4,1518.6,2135.9,5496.6,188.1,5404.2,1298.5,0,435.8,0,2398.3,0,931.0,0
3760,188.0000,1,hybrid:ecc,0.9435,0.072,1348.6,3108.9,-87.284,2375.2,452.3,427.4,359.9,105.1,7152.2,2052.9,7244.6,2580.0,,,planar,677.5,2757.8,2020.0,2758.3,2019.7,3460.0,677.2,3459.5,2320.2,1611.0,372.4,1518.6,2135.9,5496.6,188.1,5404.2,1298.5,0,435.8,0,2398.3,0,931.0,0
